image_id,model,baseline_caption,grounded_caption,reference_captions
000000397101,Qwen3-VL-4B,"The image shows a person playing tennis on a court. The person is wearing a red tank top and a white visor, and they are holding a tennis racket in one hand while their other hand is raised in the air. The court appears to be a hard court, and the person is in the middle of a serve or a serve preparation.","A person is playing tennis on a blue court. They are in the middle of serving, with their right arm extended upwards and their left arm holding a tennis racket. The person is wearing a red sleeveless top, black shorts, and a white visor. The court has white lines marking the boundaries.",A young woman gets ready to serve the ball. | The woman is playing tennis with a racquet. | A tennis player lines her racket up to hit the ball. | A woman is holding a tennis racquet preparing to serve the ball. | A female tennis player swinging at a tennis ball.
000000029125,Qwen3-VL-4B,"The image shows a tall, brick clock tower with a pointed roof and a clock face illuminated against the sky. The tower is set against a clear blue sky, and there are some trees visible at the base of the tower.","The image shows a tall, brick clock tower with a pointed roof. The clock face is illuminated, glowing against the sky. The tower is set against a clear blue sky, and there are some trees visible at the base of the tower. The lighting on the tower suggests it is either early morning or late evening.",A large clock tower illuminated by lights and topped with a pyramid.. | A well lit church steeple with a clock on it | An illuminated clock tower behind a tree against a dusky sky. | A large clock tower sitting in the shadows. | There is a tall clock tower lit by lights
000000027438,Qwen3-VL-4B,"The image shows two sheep standing in a grassy field. One sheep is on the left side of the image, while the other is on the right side. The sheep on the left appears to be looking towards the camera, while the sheep on the right is facing away from the camera. The field is covered with green grass, and there are no other animals or objects visible in the image.","The image shows two sheep in a grassy field. One sheep is on the left side of the image, standing and looking towards the camera. This sheep has a collar around its neck. The other sheep is on the right side of the image, also standing and facing towards the left. The grass is green and appears to be in a natural, uncultivated state.",Two sheep one with a bell tied to its neck walking in a green field. | Two sheep stand near each other on the grassy pasture. | Two sheep walking in the grass on a sunny day.  | Two sheep that are grazing in a field. | Sheep in a meadow with bells around their necks
000000088412,Qwen3-VL-4B,"The image captures a baseball game in progress, with a batter, catcher, and umpire in the foreground. The batter is holding a baseball bat, and the catcher is wearing a baseball glove, preparing to catch the ball. The umpire is positioned behind the catcher, observing the play. The scene is set on a baseball field, with the home plate visible in the foreground.","The image depicts a baseball game in progress. A batter, wearing a blue uniform with the number 18, is in the process of swinging a bat. The catcher, wearing a gray uniform with a catcher's mitt, is crouched behind the batter, ready to catch the ball. The umpire, dressed in black, is positioned behind the catcher, observing the play. The field is a well-maintained baseball diamond with green grass and brown dirt. The home plate is visible on",A baseball player swinging a bat during a game. | Uniformed baseball players playing ball at home plate. | A baseball player is standing in front of a catcher preparing to hit a ball.  | A batter takes a swing at an oncoming baseball. | People playing baseball on a baseball field; a man batting.
000000205498,Qwen3-VL-4B,"The image shows a round table with a vase containing a flower arrangement on it. The table is situated in front of a large, round window with curtains. The window provides a view of trees outside. The overall setting appears to be a cozy and well-lit room.","The image shows a round table with a glass top, placed in front of a large, circular window. The window has a white frame and is adorned with light-colored curtains tied back on both sides. Through the window, greenery and trees are visible, suggesting an outdoor setting. On the table, there is a clear glass vase containing a flower arrangement. The flowers include a prominent yellow flower and smaller white flowers, with green foliage. The overall scene is bright and airy, with natural light illuminating",A window above a wooden table with a vase containing a white flower. | A kitchen table with a vase and flower and window overlooking it. | vase with flowers make up the center piece of table in front of window | A vase with flowers in it on a table.  | round porthole window in dining room with flower vase
000000218388,Qwen3-VL-4B,"The image shows a stop sign with graffiti on it, located in front of a building. The sign is partially obscured by tree branches, and there are street signs and a car visible in the background.","The image shows a stop sign with graffiti on it, located in front of a building with large windows. The building is labeled ""Harry S. Truman Building."" There are street signs indicating ""C St"" and ""2100."" The scene includes trees with green leaves, a fire hydrant, and a car parked in the background.",A large red sign on a metal pole. | A stop sign sits on a road with graffiti.  | A Stop sign with some potted plants next to some buildings | The stop sign has words painted on it. | a stop sign sits in front of a building 
000000475856,Qwen3-VL-4B,"The image shows a person standing in a room, wearing a suit and tie. The room has a wooden floor and a wooden door in the background. There are various items on the floor, including shoes and a jacket. The person appears to be posing for the photo, with their hands in their pockets.","A person is standing indoors, wearing a dark suit, white shirt, and a dark tie. They have their hands in their pockets and are standing on a wooden floor. The background includes a wooden door, a wall with a light switch, and some scattered items on the floor.",A very nicely dressed man standing by a door. | A MAN STANDING NEAR A BROWN DOOR POSING FOR A PICTURE. | A man in a suit poses with his chin up in front of the door. | A man in a suit and a tie is standing by a door. | Man poses for the camera in suit and tie.
000000567198,Qwen3-VL-4B,"The image shows two giraffes in a natural setting, possibly a zoo or a wildlife reserve. The giraffes are standing close to each other, with one giraffe bending down to graze on the ground. The background includes greenery and rocks, suggesting a habitat that mimics their natural environment.","The image shows two giraffes in a naturalistic setting, possibly a zoo or wildlife reserve. The giraffes have distinctive spotted patterns on their bodies, which are characteristic of their species. The giraffe in the foreground is bending its neck, possibly to reach the ground or to interact with something out of the frame. The background includes green foliage and some rocks, suggesting a habitat designed to mimic their natural environment. The lighting indicates it is daytime, with sunlight casting shadows on the ground.",Two giraffe standing on a dirt road next to a jungle | Group of giraffes leaning forward to eat out of a feeding area.  | Two giraffes investigating something inside of an enclosure. | Two giraffes are positioned on both sides of a much larger animal who is taking the lead. | Two giraffes foraging for food along the wall
000000024480,Qwen3-VL-4B,A black cow with white markings is standing in a grassy area near a body of water. The cow has two small horns and is wearing ear tags. The background includes some bushes and a clear view of the water.,"A black cow with white markings and orange tags on its ears is standing in a grassy area. The cow has a white tail with a yellow tip and is grazing on the grass. In the background, there is a body of water and some green bushes. The cow appears to be in a natural, outdoor setting.",A black cow with horns standing on a field. | A black and white cow standing in the grass next to a body of water. | a close up of a cow in a field near a bush | A very mean looking steer grazing in a field. | A cow grazing in a field by a body of water.
000000528811,Qwen3-VL-4B,"The image shows a train station with a green train parked on the tracks. The train has a distinctive design with a yellow and green color scheme. There are also other trains visible in the background, including a white train. The station appears to be well-maintained, with a clean and organized environment.","The image shows a train station with three green and yellow trains parked side by side. The trains have the word ""First"" written on them, indicating they are part of the First Group, a British train operator. The trains have yellow doors and windows, and the front of each train has a round headlight. The station platform is visible in the foreground, with a blue safety barrier and some red and yellow equipment. Another train, partially visible, is in the background.",a green train that is sitting on a train track | Two green trains stop in front of a warning guard. | a group of trains parked side by side next to a sidewalk | Some very big pretty bright colored trains parked. | two trains are parked side by side at the station
000000187187,Qwen3-VL-4B,"The image shows a man in a red shirt standing in front of a laptop computer. There are two laptops on a table, and the man appears to be working on one of them. The setting seems to be an office or a workspace, with various posters and artwork on the walls in the background. The man is focused on his work, and the environment appears to be professional and creative.","In the image, a person wearing a red shirt is standing and using a laptop placed on a table. The table is situated in front of a wall with several colorful posters and paintings. Another person, dressed in a dark suit, is standing in the background, looking at the posters. The room appears to be a conference or exhibition space, with various displays and electronic equipment visible.","A person and a laptop in a room. | a guy checking out a laptop computer in a store | A man using a laptop at work  | A man using a laptop, while holding it. | A man standing in front of a laptop computer."
000000513381,Qwen3-VL-4B,A child is sitting at a table with a toy in front of them.,"A young child with blonde hair is sitting at a wooden table. The child is wearing an orange shirt and has their hands clasped together. In front of the child, there is a tall, green cylindrical object with a yellow top, which appears to be a toy or a container. On the table, there is a white bowl with some food inside and a plate with a slice of pizza. In the background, there is a kitchen area with a refrigerator, a wine glass, and a cabinet with","A little girl standing in front of a stack of items. | a child at a table sitting next to stacked items. | A child beside a stack of parmesan cheese containers and a sippy cup. | A young child claps his hands at the ""sculpture"" he made. | A little girl is all happy as she sits at the table with her cup sitting on the containers of cheese. "
000000394478,Qwen3-VL-4B,A cat is sitting on a chair in front of a laptop and a smaller device.,"A cat is sitting on a table next to two electronic devices. The cat has a greenish-brown fur and is looking directly at the camera. The first device is a laptop with a green keyboard and a screen displaying a simple interface with a gingerbread man icon. The second device is a smaller, white, rectangular device with a screen showing a bird image. The table appears to be made of wood, and there is a cloth or towel under the devices. The background is a plain wall.",a furry cat sits behind a child's laptop | A cat sitting behind a laptop on a desk. | A cat that is sitting on a table that has electronics on it. | A cat is posing next to a laptop computer. | a cat is standing near a tiny computer
000000207180,Qwen3-VL-4B,"The image depicts a large, spacious interior, likely a train station or a similar public building. The architecture features high ceilings, arched windows, and a central clock. The floor is made of polished stone or marble, and there are several benches and tables for people to sit and wait. The lighting is bright, creating a warm and inviting atmosphere. People are walking around, and the overall scene is bustling with activity.","The image depicts a spacious, well-lit interior, likely a train station or a large public building. The floor is polished and reflective, with several wooden benches arranged in rows. The ceiling is high, adorned with numerous hanging light fixtures and a large, arched window that allows natural light to flood the space. In the center, there is a prominent clock with a yellow face and black hands, set within an ornate, arched structure. The walls are decorated with various elements, including a",A group of people walking around a train station. | an ornate bus station with a grand clock in it | A large long hallway with many doors to the sides and a large window at the end with a clock. | A terminal with benches and several people walking around | A very large building with the sun shining through the windows.
000000422755,Qwen3-VL-4B,"A person is riding a horse on a dirt path. The horse is equipped with a saddle and a bridle, and the rider is wearing a white t-shirt and brown pants. The background features a grassy field and a mountain in the distance.",A person is riding a horse on a dirt path. The person is wearing a white t-shirt with text and brown pants. The horse is equipped with a saddle and has a bridle on its head. The background features a grassy field with a fence and distant mountains. The sky is clear.,A woman riding on the back of a brown horse. | a teenage girl rides a horse down a dirt road | A woman with a smile on her face riding a horse. | She loves riding her favorite horse as much as she can. | a girl in a white shirt sitting on a brown and black horse
000000555346,Qwen3-VL-4B,"The image shows a large boat with the name ""KULSHAN"" on it, floating on the water. There are two people wearing orange vests on the boat, and another boat can be seen in the background. The boat appears to be a fishing vessel, and the scene takes place in a calm body of water with mountains in the distance.","The image depicts a large fishing boat named ""KULSHAN"" floating on calm waters. The boat is primarily black with a red bottom and has various fishing equipment and structures on its deck, including nets and rigging. There are two individuals wearing orange safety gear on the boat, likely engaged in fishing activities. In the background, there are other boats and a mountainous landscape with some snow-capped peaks. The sky is overcast, suggesting a cloudy day.",A tugboat in the water has two occupants.  | A tug boat floating on a large body of water. | Two men in rain gear pull ropes on a fishing boat. | A fishing boat sailing in the ocean with two men. | A small fishing boat with two people on deck
000000261757,Qwen3-VL-4B,"The image shows a freshly baked pizza on a wooden cutting board. The pizza appears to have a variety of toppings, including cheese, mushrooms, and possibly other ingredients. The board is placed on a metal surface, likely a kitchen counter or a pizza oven. In the background, there are some kitchen items, including a stack of plates, a roll of paper towels, and a plastic bag. The overall setting suggests a home or restaurant kitchen environment.","A freshly baked pizza with various toppings, including mushrooms and cheese, is placed on a wooden cutting board. The pizza is on a stainless steel surface, possibly a kitchen counter or a pizza oven. In the background, there are stacks of plates, a roll of paper towels, and some plastic bags. The scene appears to be in a kitchen or a restaurant setting.",a pizza on a wooden table ready to be cooked | A pie sitting on top of a wooden board near  stack of plates. | An oven fired traditional pizza sits on a board in the kitchen. | A pizza is sitting on a pizza stone fully cooked. | A whole uncut pizza on a pizza paddle.
000000006005,Qwen3-VL-4B,"The image shows a group of four giraffes in an enclosure at a zoo. The giraffes are standing on a dirt ground, with one of them walking towards the left side of the image. In the background, there is a wooden fence and some visitors observing the animals. The giraffes appear to be in a naturalistic setting, with some rocks and vegetation visible in the enclosure.","The image shows a group of four giraffes in an enclosed area, likely a zoo or wildlife park. The giraffes are of varying sizes, with one adult giraffe prominently in the foreground, walking towards the left. Behind it, there are three younger giraffes, two of which are standing close together, and one is slightly further away. The enclosure has a wooden fence and a rocky terrain with some greenery. In the background, there are visitors, including a couple, observing",a couple of giraffes that are walking around | A herd of giraffe standing on top of a dirt field. | Several smaller giraffes that are in an enclosure. | The giraffes are walking in different directions outside. | A giraffe standing next to three baby giraffes in a zoo exhibit.
000000150284,Qwen3-VL-4B,"The image shows a person riding a motorcycle in front of a store window. The motorcycle is parked on the street, and the person is wearing a helmet and carrying a backpack. The store window displays various items, including a Swiss Army Knife. The scene is captured in a way that the motorcycle and the person are in color, while the rest of the image is in black and white.","The image shows a person riding a red motorcycle. The rider is wearing a helmet and has a black bag attached to the back of the motorcycle. The motorcycle is parked in front of a store with large windows displaying various items. The store has a sign that reads ""Victorinox,"" indicating it is a Swiss Army Knives store. The background is in black and white, while the motorcycle and rider are in color, creating a striking contrast.",A man stands beside his motorcycle in front of a store. | A red and black motorcycle with shiny chrome. | a close up of a motorcycle parked on a street | A motorcycle parked on the side of a road next to a man. | A man stand next to a motorcycle with a bag on the back.
000000397658,Qwen3-VL-4B,"The image is a black and white photo of a woman walking down a street. She is talking on her cell phone and appears to be in a hurry. There are several other people walking around her, and some of them are carrying handbags. The background shows a building with a balcony and a signboard. The scene appears to be in a busy urban area, possibly a city street.","The image depicts a woman standing on a city street, engaged in a conversation on her mobile phone. She is wearing a dark coat over a striped sweater and a scarf. In the background, there are several other people walking, including a woman carrying a shopping bag. The scene is set in an urban environment with buildings and street signs visible. The image is in black and white.",A woman with glasses and holding a cell phone on the street | A woman is looking to the side while talking on her phone. | A woman talking on a cell phone while talking past people. | A woman walking down the street talking on a cell phone. | A woman in a scarf and sweater talks on her cell phone in a large city.
000000319607,Qwen3-VL-4B,"The image shows a busy urban intersection with a traffic light displaying a yellow signal. A cyclist is riding through the intersection, and there are several other people and vehicles in the scene. The area appears to be a construction site, as scaffolding is visible in the background. The street is marked with white lines and has a red-painted section, possibly indicating a pedestrian crossing or a bike lane.","The image shows an urban street scene with a traffic light displaying a yellow signal. The traffic light is mounted on a pole and has a circular yellow light. Below the traffic light, there is a sign with a yellow arrow pointing to the right. In the background, there is a building under construction, identifiable by the scaffolding and the unfinished facade. The street is marked with white lines and has a red-painted section near the curb. A cyclist is riding on the sidewalk, and there are other","A bent traffic light next to the side of a street. | A man is riding on bicycle alongside a new construction building. | A street light shows a yellow are point right. | A sign post with an electric traffic signal attached. | A traffic light on the intersection of a city, with a large building and a bicyclist in the background."
000000261426,Qwen3-VL-4B,"The image shows a sandwich cut in half and stacked on a black tray. The sandwich is made with white bread, lettuce, tomato slices, and what appears to be chicken or turkey. There is a small container of red sauce, possibly ketchup, next to the sandwich. The tray is placed on a table, and there is a newspaper or menu under the tray. In the background, there is a person's hand holding a plate with fries. The overall setting suggests a casual dining environment, possibly","The image shows a sandwich cut in half, revealing layers of lettuce, tomato, and what appears to be chicken or turkey. The sandwich is placed on a black tray with a small container of red sauce, likely ketchup, on the side. There are also some chips and a plate of fries in the background. The setting seems to be a casual dining environment, possibly outdoors, as suggested by the wooden table and the presence of a newspaper or menu under the tray.",A black square plate topped with a cut in half chicken sandwich. | THERE IS A SANDWICH WITH MEAT AND LETTUCE | A sandwich sits on a plate on the table.  | Several sandwiches are on a black square plate. | A sandwich is sitting on a black plate.
000000146568,Qwen3-VL-4B,"The image shows a room with a wooden floor, where a child is standing and looking at the camera. The room is filled with various toys and items scattered around, including a yellow shopping cart, a pink basket, a green plastic container, and a pink and white doll. There is also a fireplace in the background. The room appears to be a play area or a living room.","The image shows a room with a wooden floor and a fireplace in the background. The room is filled with various toys and items scattered around. There is a child standing in the foreground, wearing a red shirt and blue jeans. The room also contains a yellow shopping cart, a pink basket, a green plastic container, a pink and white toy car, a pink and white doll stroller, and several other toys and items. The room appears to be a play area, with the child and toys being",A little boy is standing near a lot of toys. | the young boy has played with all of his toys. | A toddler playing in a room with many toys all over the floor. | A small child stand amidst many primary-colored toys in front of a fireplace. | A young child is standing in a room with toys on the floor.
000000202445,Qwen3-VL-4B,"The image shows a cat lying on a bed with a white blanket. The cat is positioned on the right side of the bed, and the blanket appears to be slightly rumpled. The background includes a window with curtains, and the overall lighting in the room is dim.","The image shows a cat lying on a bed with a white and gray patterned blanket. The cat is positioned with its back to the camera, and it appears to be looking towards the left side of the frame. The background includes a window with curtains partially drawn, allowing some light to enter the room. The overall scene is indoors, with the focus on the cat and the bed.","A cat facing away from the camera, among blankets on a bed. | A  cat sleeping on a blanket on someone's bed | A brown cat is curled up on some bed sheets. | A cat laying in bed on top of a blanket. | A cat is lying covered in bed with white sheets"
000000315976,Qwen3-VL-4B,"The image shows a red double-decker bus on a city street. The bus is labeled ""Hampstead Heath 24"" and has the route number 24 displayed on its front. The bus is parked on the side of the road, and there are trees and buildings in the background. A person is walking on the sidewalk in the background.","The image shows a red double-decker bus on a city street. The bus is labeled ""Hampstead Heath 24"" and has the route number 24 displayed on its front. The bus is parked on the side of the road, and there are trees and buildings in the background. The bus has a modern design with large windows and a clear front windshield. There is a person walking on the sidewalk in the background. The sky is clear, indicating a sunny day.",a red double decker bus is seen coming up the street | A red double bus is traveling down the road.  | A double decker bus is on a street. | A red double decker bus driving down a street. | A red double decker bus is riding down the road.  
000000096097,Qwen3-VL-4B,"The image shows a cat sitting on a wooden chair. The cat appears to be resting comfortably, with its body stretched out across the seat of the chair. The chair has a traditional design with turned wooden legs and a rounded backrest. The cat has a dark coat with lighter patches, and it seems to be in a relaxed position, possibly sleeping or dozing. The background includes a carpeted floor and some papers or documents on the chair's seat.","The image shows a wooden chair with a cat lying on its seat. The cat appears to be resting or sleeping, with its body curled up and its head resting on its paw. The chair has a round seat and is made of wood with turned legs and spindles. There is a piece of paper or a document on the right side of the chair, and the background appears to be a carpeted floor.",there is a cat sitting on a wooden chair | A cat is sitting on the wooden chair.  | A small cat sitting down on a chair. | A cat is sitting on a chair looking up. | A black cat playing on top of a wooden chair.
000000087456,Qwen3-VL-4B,"A cat is sitting on a piece of furniture, observing a television screen that displays a bird in flight. The TV is placed on a stand or table, and there are several objects around it, including a bottle, a remote control, and a few books. The room appears to be a living space with a bookshelf in the background.","A cat is sitting on a piece of furniture, observing a television screen that displays a bird in flight. The television is placed on a stand, and there are two framed pictures on the stand. The room has a shelf with various items, including a bottle and a small object that resembles a camera. The cat appears to be focused on the television screen.",A cat sitting next to a television watching a bird on the screen.  | A cat watching birds flying on a Sony TV screen. | a cat is looking at a television with birds on it | Cat sits staring at birds that are actually only on the tv screen | A cat drooling at a TV with an image of flying birds on display.
000000357402,Qwen3-VL-4B,"The image shows a tennis player in action on a court, swinging a tennis racket. The player is wearing a white shirt, a dark skirt, and a white cap. The court is surrounded by a crowd of spectators, and there is a blue barrier with advertisements in the background. The scene appears to be from a professional tennis match, possibly at the Cincinnati Open Series.","A tennis player is in the middle of a match, swinging a tennis racket with both hands. The player is wearing a white cap, a white shirt with red accents, a dark skirt, and white shoes. The court is blue with white lines, and there is a crowd of spectators in the background. The crowd is seated in blue chairs, and there are advertisements on the walls. The player appears to be in motion, possibly after hitting the ball.",The woman has swung her tennis racket behind her back. | a woman holding her tennis racket behind her  | a woman is swinging a teniis racket at a game | A woman playing tennis at a tournament  | A woman swinging a tennis racket at a tennis match.
000000091304,Qwen3-VL-4B,"The image depicts a cozy living room setting. The main elements include a white couch with a blue pillow, a wooden chest as a coffee table, and various framed pictures and a mirror on the wall. The room has a warm and inviting atmosphere, with a mix of modern and rustic decor.","The image depicts a cozy living room setting. A white couch with a blue pillow is positioned against a wall. On the wall, there are two framed pictures, one of which appears to be a black and white photograph of a cat. A wooden chest sits in front of the couch, and a patterned rug covers the floor. A lamp with a white lampshade is placed on a side table next to the couch. The room has a warm and inviting atmosphere.",A living room has a couch and a rustic chest for a coffee table. | A PHOTO OF A LIVING ROOM WITH COUCHES AND A TABLE  | The couch is tidy but empty of people. | A living room with a wooden crate coffee table | A white couch sitting in a living room next to a wooden table.
000000337275,Qwen3-VL-4B,"A person is holding a piece of apple, and a cat is sniffing or trying to bite it. The person is wearing a light-colored shirt, and the cat is sitting on a cushioned surface, possibly a couch or chair.","A person is holding a piece of apple, and a cat is sniffing it. The person is wearing a light blue shirt, and the cat is sitting on a brown surface, possibly a couch or chair. The cat has a striped pattern on its fur.",A man laying on a chair feeding a cat. | A cat in a mans lap investigating an apple. | A brown and white cat eating an apple from a persons hand. | A cat standing on someones lap sniffing an apple | a small black brown and white cat a person and an apple
000000323231,Qwen3-VL-4B,"The image shows two people skiing on a snowy slope. One person is wearing an orange jacket and appears to be adjusting their equipment, while the other person is wearing a black jacket and is actively skiing. The background features a clear blue sky and a mountain range with evergreen trees.","The image shows two skiers on a snowy slope. One skier, wearing an orange jacket, is standing on skis and appears to be adjusting their equipment. The other skier, dressed in a dark jacket and pants, is actively skiing downhill. The background features a clear blue sky, evergreen trees, and a mountain range in the distance. The scene is bright and sunny, indicating a clear day.",A pair of ski emergency responders transporting an injured skier. | Two skiers slide across a snowy landscape.  | Two men on skis are going down a snowy slope. | Two people on skis in a wooded snowy area. | Two skiers traveling on a snowy path in a forested area. 
000000568814,Qwen3-VL-4B,"The image shows a man with a beard and mustache, wearing a green tie and a brown shirt. He is standing in a room with an orange wall and a ceiling with recessed lighting. There is another person in the background, and the man appears to be looking off to the side.","The image shows a man with a beard and mustache, wearing a green tie and a brown shirt. He is standing indoors, with an orange wall and a ceiling with recessed lighting in the background. There is another person in the background, partially visible. The man appears to be in a relaxed pose with his arms crossed.",A man with a bear sitting with his arms crossed and his tie over his left shoulder. | A man with a beard in a tie sits with his arms crossed. | a man with a beard and a gray shirt and tie | A man with a tie is staring at something. | Man with beard folding arms with tie over shoulder.
